Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Costa Rica,977125.1799999999,1014872.0575000001,1053754.255,1091430.6400000001,1128850.4725000001,1165878.9925000002,1203173.0325,1239688.4125,1275038.7425000002,1309795.795,1341452.7149999999,1371799.23,1403500.4725,1436565.675,1472582.1375,1510253.7325,1554258.935,1600623.6175,1652216.4425,1707301.865,1765673.125,1824774.7925,1885152.12,1944081.23,2001769.57,2063488.2400000002,2134612.6025,2204352.8825,2270611.4675,2338338.1725,2403881.0425,2465683.94,2526339.6875,2589738.59,2667875.3874999997,2744915.7325,2823769.0825,2903680.0250000004,2983271.835,3062990.7575,3144888.3725,3226485.8674999997,3300297.5149999997,3374583.8175,3452278.755,3527949.2524999995,3609068.5549999997,3691583.2824999997,3780775.255,3873747.8724999996,3970939.2824999997,4063614.76,4160884.766707086,4254984.257254002,4350728.633239425,4449864.610441076,4552907.047075687,4655939.096454705,4759326.379347437,4865056.131909891,4972756.661742437
Croatia,3856979.3499999996,3902072.0,3946679.835,3990159.1624999996,4031763.7575000003,4071147.2474999996,4118281.345,4162205.04,4203726.57,4244023.815,4284106.245,4332588.7225,4380053.5875,4427071.7375,4474479.1625,4522729.9075,4573357.3375,4623347.842499999,4671933.57,4717912.495,4761151.8100000005,4801989.5175,4839161.175000001,4874030.72,4908278.2425,4942363.217499999,4990607.5075,5037003.76,5077708.175,5107675.505,5124151.3075,5154040.7,5170512.82,5176822.5,5177335.675,5175262.52,5171114.6,5161832.25,5151006.710000001,5143574.495,5142584.9775,5106461.890000001,5147490.1375,5182955.3075,5221481.032500001,5269297.529999999,5309869.53,5345236.5375,5380092.1325,5406452.92,5425000.842499999,5435262.3025,5461467.58,5485288.955,5506238.2125,5505654.1325,5513786.1,5500908.57,5503666.165,5509278.57,5525654.75
Cyprus,494699.82,500826.5725,504511.20999999996,505746.16000000003,506044.395,507660.76749999996,522110.675,538584.5625,556441.03,574999.98,594235.9299999999,600253.4550000001,606081.745,611768.255,617458.67,623348.69,629420.935,635690.6925,641619.7250000001,646605.645,650476.12,657595.315,519037.70749999996,524094.1675,532557.98,540347.2,547561.5800000001,554537.105,561395.245,571110.3,585687.4375,603427.4525,622123.04,638710.935,652553.875,665259.3200000001,677046.6225,687868.5625,697463.76,707283.3899999999,717558.66,731244.7525,746063.78,759024.9125,773706.1375,789726.59,808548.3325,830909.7150000001,855606.755,882551.8200000001,910328.54,938360.48,960606.6299999999,973006.8125,978600.4775,986219.6200000001,1001543.3674999999,1019525.6199999999,1038628.3725,1057685.6675,1076461.225
Czech Republic,9830397.190000001,9718899.3875,9777352.01,9853543.8875,9969348.325,10099412.2325,10223361.092500001,10333177.182500001,10426773.370000001,10500086.899999999,10453967.8225,10498463.68,10555270.82,10618903.055,10718606.1725,10830170.6675,10946804.405,11051333.86,11138157.4725,11199633.48,11201801.75,11109022.875,11053991.175,10989080.629999999,10942870.825,10937097.77,10948876.684999999,10978656.182500001,11019069.305,11055621.52,11067334.365,11047722.9025,11065932.475000001,11090848.67,11118596.27,11156667.4875,11202617.0825,11260595.395,11330302.03,11406139.927499998,11485545.4875,11504927.350000001,11587206.1425,11680470.6875,11774423.36,11896540.1725,12029110.2625,12180516.615,12390997.335,12565790.5675,12702501.395,12838266.705,12976655.6075,13091409.3675,13207480.434999999,13322867.592500001,13453528.2025,13590485.105,13743709.0625,13910830.607500002,14041197.49
Denmark,4720808.71,4775600.307499999,4832406.2425,4890805.484999999,4951790.1975,5012214.5600000005,5072921.0375,5133007.9825,5187257.4399999995,5238070.5625,5292982.715,5345070.8275,5393977.7,5445937.4475,5494249.9125,5538909.8025,5578573.0975,5616262.955,5655001.84,5687124.62,5709114.7225,5723654.165,5739641.797499999,5756040.244999999,5770887.7275,5791880.4350000005,5820399.2225,5849750.25,5878153.15,5909170.1675,5941660.077500001,5976652.0725,6013309.4525,6047686.1850000005,6069735.1225000005,6099740.0649999995,6130545.047499999,6165462.9225,6198749.035,6234643.4350000005,6277134.140000001,6323426.4825,6367617.217499999,6405697.9225,6446045.965,6489415.28,6537646.092499999,6592051.885,6662033.3625,6736437.2075,6817098.0600000005,6901901.375,6985395.51,7059431.76,7143319.6274999995,7226574.425000001,7318974.7,7409985.91,7500542.3325,7594505.3025,7685654.8525
Estonia,1243839.9475,1260482.645,1277366.4475,1294326.05,1311381.8575,1328455.49,1346844.575,1364863.1025,1382391.4275000002,1399230.1625,1411937.0150000001,1430961.725,1449533.25,1466594.4175,1483290.7999999998,1498398.2825,1511477.2025000001,1525602.955,1538735.1400000001,1549264.7375,1559629.7875,1569883.895,1580868.5975000001,1594326.3525,1607215.8925,1617890.0325,1631708.295,1647777.2149999999,1660102.4324999999,1668372.3900000001,1671437.2,1667267.9224999999,1649120.445,1623166.895,1601431.5575,1583735.3975,1572945.275,1568169.4975,1561928.4075,1557989.1275,1590398.05,1592208.4874999998,1596661.15,1602365.1,1609371.025,1616805.775,1624071.5125,1632141.1625,1638474.2875,1643754.6375000002,1649203.275,1655874.995,1663968.2075,1672214.1724999999,1681839.2825,1693420.92,1705787.19,1718684.5125000002,1731309.9625,1743392.3525,1753571.3050000002
European Union (27 countries),356423063.4675,360696599.01250005,365170926.9625,369473309.765,373898219.7075,378755128.89,383461626.3025,387992480.585,392096239.61,395917264.5675,399388429.2025,402358953.82625,405352081.97375,408241177.52625,411584675.5125,415786046.17875004,419994454.28875,423961291.98875,427747478.02374995,431165700.09749997,434280708.6725,436666885.1425,438588050.64374995,440327042.435,442451190.98,445465153.14874995,448870699.85125,452533076.30875003,456447943.78999996,460221915.71375,463947169.16375005,468574317.60249996,472146318.88875,475584946.29999995,478903762.74125004,482829022.8075,486819101.15,490498370.87125003,494095593.72125,497898188.28874993,502272121.0025,506586593.15000004,511565803.48625004,516902183.505,522560197.46375,528841787.1975,534867498.515,540592544.25875,546518249.72,551967980.29125,557239378.86,560405727.23875,565732750.30125,570966808.55875,576647281.785,582087753.0475,587357182.57875,592109493.56125,596741173.52875,601768716.39625,605860091.59375
Finland,4061231.135,4103147.9850000003,4142832.4074999997,4189040.8550000004,4236254.3225,4274627.855,4315000.605,4358955.885,4396299.6,4422274.0725,4441727.635,4474061.95,4522581.365,4575331.4925,4628995.9125,4685835.1775,4743668.855,4800840.2,4856721.83,4909332.0925,4960284.529999999,5011797.04,5069802.285,5130794.545,5186739.5625,5236477.1825,5286968.5675,5332498.734999999,5371817.895,5416031.345,5467779.324999999,5528769.64,5593356.6325,5654226.015000001,5713398.515,5770237.035,5826975.887499999,5878008.445,5921396.449999999,5968091.6425,6022848.0375,6089180.275,6160121.18,6233785.9350000005,6314604.390000001,6394977.5225,6479992.74,6562290.915,6637526.25,6717657.7725,6804030.577500001,6900407.1175,6999629.955,7096486.907500001,7187612.1625,7266957.6675,7341090.4625,7408759.93,7467065.765000001,7527847.1,7596056.995
France,48648837.885,49138310.64,49940146.79000001,50688062.43,51200655.8625,51760468.81999999,52318301.557500005,52861540.995000005,53356919.225,53819425.5225,54261629.9925,54695601.82,55130202.8325,55559656.1325,55946851.6925,56334002.019999996,56740411.557500005,57180559.0925,57630975.67,58079804.845,58508669.915,58850356.3975,59177082.84,59491945.355000004,59823031.1325,60293325.4025,60847116.197500005,61424406.9075,62058938.63250001,62704474.9675,63271468.8775,65055280.317499995,65616726.527499996,66158220.417500004,66707796.25750001,67352764.845,68027226.8325,68685305.5425,69363529.225,70131684.1725,70992792.08,71921289.64750001,72912628.1325,73874287.42,74884574.5325,75930562.8775,76869555.09,77758918.5925,78647129.33500001,79498780.785,80337528.02000001,81268955.4225,82286152.54249999,83327796.1275,84535104.7125,85478079.52250001,86350866.255,87199050.5375,88015920.9325,88828582.76249999,89537469.0075
G20,1889578769.6963005,1919227332.563621,1951975108.998387,1986222134.9973853,2022609446.6691465,2060097388.6276736,2102997830.6442413,2146533587.9879298,2187958318.881361,2229859621.406229,2272318328.7701855,2317676678.9160113,2361139411.5738115,2403807409.0859365,2446216908.7248354,2489756088.8289366,2532775673.6797314,2575430467.5233994,2618359561.6414223,2662318482.795454,2710863389.7680883,2756476311.824619,2804069646.2724524,2853376535.6890793,2904610083.262436,2958940161.187463,3016924749.1599226,3075615013.6661897,3133927652.33701,3191128374.044834,3246168708.0194817,3302339930.9015455,3354364055.56092,3402861565.7116985,3450107321.0007353,3499533020.844989,3550683489.346696,3604868719.3477674,3661465260.5853524,3718645819.5847874,3777791118.3237495,3836753594.5325003,3896583278.2437496,3954981990.665,4014328226.0,4077461891.81875,4144455984.0775,4212613797.647834,4282026956.915,4350998677.37875,4422529451.502501,4492875037.09375,4567223023.07375,4641397797.99375,4718033346.91,4798023862.2275,4878729206.62125,4959437222.22625,5040340659.42375,5120948855.73625,5197837944.48125
