Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Korea,19017664.65,19564389.445,20099074.3325,20605071.315,21053919.115,21508479.6575,22012198.715,22406712.0275,22831596.8325,23298535.0075,23819859.887500003,24421907.622500002,24761560.082500003,25215295.072499998,25689107.445,26248418.927500002,26670543.3425,27115851.384999998,27587972.945,28092668.8625,28688016.932499997,29273956.939999998,29936607.5625,30590988.1725,31169855.555,31678396.2675,32142465.402499996,32655383.409999996,33229452.9225,33873419.71,34641253.0325,35330655.8,36090318.055,36885761.042500004,37713217.27249999,38555684.879999995,39424707.087500006,40252369.2225,40984345.519999996,41709033.662499994,42527718.207499996,43357873.775,44167698.7525,44975058.515,45803027.61,46587255.575,47513639.8625,48561575.965,49756720.46,50770331.285,51890854.097500004,53068492.2325,54259394.567499995,55439310.9675,56790906.61,58151127.557500005,59445103.06,60733410.4375,62099466.03,63229751.3575,64481657.64
Latvia,2190941.9825,2224271.99,2255585.0975,2285784.68,2316056.4299999997,2347084.635,2381026.225,2414663.58,2447334.2725,2478161.05,2485867.0949999997,2509890.6,2535214.4050000003,2560000.105,2585949.7975000003,2609741.81,2629889.215,2650532.9875,2670422.6725,2682265.9524999997,2687119.03,2692871.6725000003,2705092.7475,2726499.6475,2750239.8600000003,2771743.015,2799967.26,2834830.1375,2866516.9625000004,2885221.59,2884733.1125,2872752.715,2846468.49,2811615.3175,2778930.96,2750102.8775,2733331.8625,2722734.52,2711890.5625,2703038.35,2692059.3125,2676338.32,2669542.4325,2670999.8475,2669197.0175,2666923.4450000003,2669203.1475,2670533.1799999997,2663397.5825,2646677.2725,2622620.845,2601829.8475,2591664.9575,2586964.3725,2587093.74,2589356.5175,2588862.1025,2585799.7125,2579242.3425000003,2571659.3,2562395.68
Lithuania,2602717.685,2654832.175,2708090.5125,2761699.575,2814414.455,2865526.1875,2912919.105,2958140.115,3002063.1525,3046200.6375,3086183.105,3135821.0475,3182850.1100000003,3226061.7125000004,3266972.7725,3304394.425,3340765.4749999996,3378732.8125,3416648.4725,3444701.435,3462926.0275,3481592.35,3508803.9025,3545042.9800000004,3583778.4775,3624581.565,3673649.705,3729503.7475,3784940.53,3826273.995,3850323.165,3867716.5725000002,3876536.7375,3873726.7700000005,3862926.875,3852258.1725000003,3845867.56,3843504.635,3843018.6675000004,3841278.9050000003,3834639.7225,3837401.795,3853704.5949999997,3868758.08,3874875.23,3864974.5825,3854041.26,3850165.8449999997,3846754.3049999997,3837435.5575,3808295.0250000004,3778350.3725,3766881.16,3762560.4074999997,3763706.5825000005,3763235.5925000003,3754318.3150000004,3742609.1550000003,3735862.2399999998,3739066.2624999997,3741853.465
Luxembourg,336090.8225,340123.345,344281.01,348386.36,352163.4425,355452.26,358867.565,361699.0,364109.44,366452.63749999995,367483.20999999996,370393.36250000005,373812.075,377072.4075,380848.9125,384719.9175,387145.57499999995,389177.93,391854.745,394322.14749999996,396639.4225,398689.4425,400229.12,401811.10750000004,403648.64,405912.02,408981.26,412559.605,416805.4125,421543.805,427142.635,433330.27749999997,439435.41500000004,445747.695,452649.83499999996,460144.61250000005,467465.53,474270.94999999995,481003.1325,487879.13,491412.1075,495124.745,502508.60750000004,510274.43000000005,519005.515,528800.2825,538644.865,548060.6875,558778.5075000001,570536.3574999999,582427.8,596895.8275,612800.1000000001,629094.86,646957.635,664530.8999999999,682044.5975,698688.2375,714024.47,730012.1725,744458.6725000001
Malta,285599.5675,287768.47,290735.39749999996,293948.4225,296833.4375,299157.1625,301014.35,302317.5925,303293.3325,304434.27749999997,306046.2325,307021.3725,308534.27,310569.4175,312947.0925,315472.0525,318393.02749999997,321225.1775,323964.8225,326699.3875,329613.005,332074.5475,334457.36,336716.4,320159.055,329242.93,338592.815,341753.985,345434.225,350482.27749999997,356135.89749999996,361579.38749999995,366880.775,372211.4925,377305.0675,382892.87,389084.005,394334.3775,398676.29250000004,403605.0075,414570.6375,426841.4125,434567.7525,441886.23,449589.7125,459020.2025,467028.475,473046.9425,480593.09750000003,489733.9175,499570.925,509646.39249999996,520755.4575,533411.3400000001,548267.5925,564267.905,579882.9775,596165.3525,614345.5800000001,635223.935,658758.2775000001
Mexico,28214225.625,29167526.825,30144844.857499998,31133583.8175,32145318.1625,33181445.36,34231712.004999995,35305115.345,36393429.5575,37497008.0775,38631521.067499995,39793100.9675,40980909.447500005,42183608.57,43406901.370000005,44648757.94499999,45887629.355,47118558.7975,48352854.54,49592289.849999994,50830987.49,52082329.2575,53362986.39,54667126.769999996,55988919.8075,57320426.364999995,58667261.015,60034650.2575,61406540.949999996,62782774.1675,64175951.95,65593348.2975,67032929.3375,68489066.095,69953986.5975,71415973.065,72885118.4125,74373568.0775,75871842.7425,77389376.175,78932625.495,80532580.87,82195470.3125,83892093.545,85631208.6425,87423182.16,89294186.7975,91253542.02250001,93265502.5675,95305950.32,97338781.94749999,99383604.2475,101443279.1725,103514311.925,105597935.48,107646933.5825,109694206.4075,111759612.10249999,113834386.4125,115922323.71000001,118023539.16749999
Netherlands,11114057.5825,11302121.9,11493537.85,11670580.1075,11851165.752500001,12040547.6025,12219474.115,12388593.335,12553152.1725,12723143.2425,12895147.78,13064806.432500001,13221367.59,13356126.175,13483638.36,13624858.6425,13760826.3125,13891312.145,14039817.55,14202036.032499999,14376649.5775,14543094.02,14684157.055,14815914.497499999,14956574.692499999,15112946.67,15280916.7375,15461498.9575,15653965.07,15835404.942499999,16015732.982499998,16214755.675,16420338.125,16609732.74,16788388.0125,16964891.075,17131231.5925,17301247.0175,17490425.225,17688013.085,17889518.5775,18117728.225,18350473.2575,18559936.52,18763376.237499997,18959464.1175,19145146.11,19342185.8475,19568314.027500004,19822199.862499997,20081933.19,20370153.375,20675753.3275,20957186.04,21244379.8525,21532515.2675,21815298.4075,22105156.37,22396554.207500003,22700561.345,22973438.8625
New Zealand,2276839.175,2317789.275,2362213.5,2405081.9125,2443884.8125,2483814.5625,2523874.4,2557650.3375000004,2586622.9375,2614301.75,2651734.2375,2697546.05,2747664.675,2804360.5125,2860192.825,2920025.9124999996,2965950.0625,2985592.2375,3000164.125,3016932.7125,3034769.5125,3064795.4875,3106288.2125,3148659.0125,3191470.4125,3227075.0125,3263481.875,3309831.7125,3347536.6375,3384268.3,3435100.1500000004,3544072.75,3600869.75,3655966.7,3716596.925,3782385.0999999996,3849061.3,3914213.875,3967655.625,4014952.125,4063878.0500000003,4115819.4000000004,4198620.675,4291252.725,4376854.949999999,4457919.55,4548900.75,4630817.949999999,4705978.025,4788139.275,4875892.925,4954416.15,5032321.775,5116191.85,5227621.949999999,5350269.825,5488119.6,5624793.449999999,5746870.275,5873931.525,6044825.7
Norway,3765322.3075,3810968.1675,3856438.4425,3899280.9000000004,3942727.755,3992833.9125,4046287.8175,4099828.1275000004,4152399.815,4201196.165,4244819.1575,4286767.57,4330650.5475,4372008.3575,4409502.2975,4446882.5975,4482323.9,4515320.28,4547345.7524999995,4576421.285,4604003.202500001,4633092.29,4665379.5675,4697020.59,4724278.5024999995,4752748.885,4783520.1375,4814489.3375,4846567.33,4876960.0475,4904064.575,4934668.1425,4969676.6,5000452.34,5028807.27,5058420.3575,5087192.1875,5116670.7775,5148410.327500001,5183300.092499999,5218086.3925,5251515.380000001,5286352.557499999,5324413.335,5368347.8925,5417765.995,5471154.9725,5534005.855,5608508.237500001,5691076.859999999,5779744.4775,5875613.585,5974691.2225,6070568.82,6166261.3774999995,6259576.0425,6347849.515000001,6435466.8075,6524658.369999999,6620300.1225,6717832.415
OECD - Total,767170988.8088002,778958282.8336208,791322528.0508878,802755089.7473848,814687837.8691475,826935772.0851729,838455510.2992408,850812086.95293,861448953.8613615,872461912.6837289,883536989.5976856,895911160.7685113,907321655.7613115,918568339.968437,930182631.032335,943255505.9339373,955420171.304732,967799857.8108995,980465305.1589218,993331868.6304541,1005720152.4705892,1017326215.5721197,1029124009.9999518,1040581888.544078,1052125105.9899366,1066558738.592463,1079768916.1274228,1093310696.5461898,1106990948.979509,1121227759.182334,1136311289.4344804,1152804048.4415445,1169322011.230919,1185040514.559198,1200201137.778235,1216264036.3449888,1232490130.4391963,1248433405.5552669,1264350556.2153518,1280219546.2997866,1297105142.7662501,1313665978.0700002,1331301593.65875,1349628864.22125,1368323754.14875,1388597923.4612498,1409133959.63375,1429908296.5753336,1450838325.9962502,1471196656.2825,1493312634.57625,1511258705.10625,1533317202.5292077,1554645567.2985044,1577234106.9957392,1599354610.236691,1621548915.5608256,1642560347.7377048,1663400978.8030975,1684365733.1781597,1703073854.2017422
Poland,26012552.3825,26363470.68,26713877.44,27118265.689999998,27591981.15,28125494.25,28493134.25,28876525.5,29408719.5,29834744.0,30145636.045,30424857.060000002,30812022.25,31284475.25,31836351.4225,32421593.26,33004755.25,33576106.5975,34096103.8525,34515590.2525,34929770.225,35318892.21,35691487.275,36092380.7675,36492314.0975,36824627.19,37127634.325,37388893.9475,37655139.942499995,37807030.1,38105630.614999995,38339998.114999995,38576481.0325,38823289.675,39031359.5175,39200026.25,39360944.47,39518055.9475,39678889.005,39787691.650000006,39959750.787499994,40287452.885000005,40706129.695,41032199.182500005,41462951.195,41886278.47,42309800.6875,42722004.510000005,43115989.56,43529744.9625,44298404.08,44739905.2,45245800.2575,45686056.230000004,46169542.2225,46597731.2975,47045336.715,47472682.057500005,47891239.9525,48297686.1475,48699339.525000006
Portugal,8214762.262499999,8321982.337499999,8409497.875,8472061.425,8500294.012500001,8526473.7125,8531303.775,8519621.9,8529871.887500001,8509602.6875,8517826.5275,8503207.69125,8445570.64875,8415693.30625,8543406.432500001,9029569.77375,9423207.58375,9547285.30375,9690660.13875,9846776.1525,10018913.5175,10152433.8575,10242922.55625,10326334.43,10401444.6025,10483894.31625,10567197.653749999,10646780.95125,10728893.5725,10819409.15625,10914322.53125,10998631.3125,11085788.14375,11184742.985,11296846.53875,11423750.370000001,11549683.805,11681343.52875,11822853.06625,11970322.92375,12149132.845,12332080.280000001,12482052.18125,12613383.36875,12739163.5075,12859901.1775,12982718.287500001,13112868.9025,13239942.427499998,13369076.184999999,13515712.09125,13645730.19875,13727361.940000001,13792233.337499999,13861527.5725,13940682.052500002,14026333.35125,14118993.690000001,14218751.65625,14337732.73625,14456875.219999999
Romania,16846325.677500002,17064578.685000002,17257737.9675,17447133.8425,17662847.8675,17924077.34,18210095.6675,18553818.7025,18817704.66,19144601.4625,19526388.57,19856230.6625,20080504.03,20194270.185,20386777.715,20755580.505000003,21153370.2825,21498556.25,21781010.91,21957286.314999998,22116606.792499997,22303800.5,22438028.195,22495726.9375,22590073.63,22751536.7725,22933919.5925,23151701.009999998,23372870.6725,23591148.445,23736720.4675,23685677.7175,23612472.9125,23643915.09,23707438.96,23800322.9525,23869159.9625,23937363.1625,24030181.7375,24140204.785,24281262.7675,24209000.104999997,24011771.3325,23938379.3575,23826667.87,24035292.932499997,24237929.4,24228618.229999997,24531638.302500002,24690945.947499998,24555722.485,24449342.185000002,24453754.72,24575995.9925,24711149.28,24811170.927500002,24857101.8575,24879825.7975,24869578.307499997,24875200.3125,24871725.567500003
Russia,104748226.45500001,106566326.80250001,108281090.0475,109872849.195,111331064.91,112660275.1175,113886550.585,115004944.385,116089209.9025,117241427.4875,118525709.83500001,120017329.435,121683205.7825,123472738.5975,125301755.6825,127108623.08500001,128904956.60249999,130559040.36000001,132125343.225,133712800.695,135419432.4975,137276158.885,139243599.095,141228876.715,143070889.1475,144657902.4675,146290489.2675,147610551.41,148716558.115,149785296.9725,150198791.55,151166594.6575,152122737.3925,152885900.8825,153502166.655,154048722.845,154403557.95,154613113.2225,154538918.575,154095689.82999998,153702696.1475,153831985.2425,154433363.315,155168198.02,156007148.5975,156878537.2,157566435.755,158130214.32999998,158332596.765,158383107.3725,159395535.3425,161008236.275,162588180.5875,164347256.63,166229377.82999998,171066320.9625,172856815.625,174121292.905,174878671.57999998,175506212.57500002,175729785.21
Saudi Arabia,3164338.6,3266276.8375,3374689.395,3488961.0324999997,3607944.135,3731592.08,3857703.0125,3987975.2925,4127077.88,4281183.047499999,4455368.2275,4642299.9725,4851653.487500001,5082597.875,5332660.585,5600889.925,5865171.83,6143354.5649999995,6447118.6825,6792640.6525,7190466.645,7581748.16,8020050.275,8487756.68,8959854.747499999,9418205.8825,9898750.817499999,10349696.39,10772935.905000001,11171933.815,11547973.7025,11923293.8325,12281306.7775,12621541.212499999,12944074.9575,13252994.995000001,13548363.44,13824735.9375,14102801.5275,14408212.0,14757345.8425,15115984.85,15540926.0125,16020836.7675,16538248.625,17080500.0225,17641581.24,18225880.72,18841278.98,19499670.589999996,20209291.7275,20987943.13,21821286.229999997,22694529.22,23588762.03,24490391.8325,24894301.075,25535338.57,26167958.0225,26797843.8575,27420404.5825
Singapore,1222367.53,1263464.44,1302506.78,1333076.49,1366238.57,1394228.76,1429004.04,1461017.54,1482431.5899999999,1500917.77,1490532.4575,1562634.93,1598422.13,1638484.22,1678629.6400000001,1710631.02,1743379.95,1772403.65,1800690.29,1831610.28,1783128.71,1829803.72,1878312.4975,1930282.625,1981074.355,2035561.3225,2085028.9425000001,2133539.645,2190014.1725,2253718.955,2339199.5025,2405763.9,2475257.5375,2542090.3725,2609688.825,2679953.7625,2746209.3049999997,2813419.0625,2882234.21,2949116.6849999996,3010985.9425,3086264.4625000004,3172451.88,3169492.5725,3264739.4975,3359891.2225,3457661.0374999996,3553823.59,3652188.4875,3782325.035,3867602.77,3948019.3975,4047217.9125,4146553.0774999997,4251289.2825,4361919.5175,4474427.54,4582263.077500001,4689983.0600000005,4804631.5875,4896831.28
Slovak Republic,3662796.8200000003,3850671.5275,3895820.3975,3943569.005,4005597.6175,4073734.125,4135800.41,4199227.5275,4258215.475,4315036.095,4339237.96,4367413.415,4411558.8925,4466317.484999999,4534918.9375,4606192.6899999995,4682210.3475,4759116.1450000005,4830743.26,4895377.470000001,4943052.7825,4964876.2425,4985300.5649999995,5002344.035,5030943.295,5071456.2775,5111099.4825,5156215.0125,5198375.365,5235325.0175,5261282.2925,5234208.705,5396074.0375,5417901.945,5308051.3625,5344113.945,5377495.6175,5418174.975,5454060.825,5488442.2425,5527136.67,5515607.34,5555014.0375,5594997.8149999995,5645119.295,5697268.6975,5752720.5975,5812788.109999999,5874916.7775,5939970.025,6008316.375,6051795.852499999,6119812.2075,6189238.15125,6256955.9925,6327031.66125,6402902.995,6481947.10375,6561410.625,6644935.16,6719983.88
Slovenia,1488662.1,1510051.3824999998,1525993.4725000001,1541939.6175,1564511.9175,1590869.2,1616441.08,1643156.855,1660391.2175,1674368.1475,1689536.075,1692799.1275,1705188.2149999999,1719118.9375,1738030.405,1761306.1125,1781093.395,1804414.7974999999,1826859.425,1849345.6724999999,1916940.2475,1917129.825,1929388.5025,1938176.165,1947426.37,1962124.8224999998,2002243.8250000002,2019661.2925,2041540.3825,2054393.86,2058384.2824999997,2069730.17,2077210.7875,2083425.74,2095774.54,2111284.4375,2134542.3575,2151194.6175,2171596.6925,2197327.13,2220041.5300000003,2243116.0225,2273533.66,2297874.66,2324191.7800000003,2355238.3475,2391050.66,2429231.25,2462758.6425,2505385.1550000003,2537147.51,2564535.5125,2596052.125,2622844.1799999997,2651354.0175,2679313.3775,2707667.0149999997,2735268.4074999997,2765943.2775,2804781.505,2835205.7875
South Africa,13454460.82,13773597.7275,14111102.39,14465203.967500001,14829332.5625,15198734.84,15584405.1375,15969076.56,16358519.3025,16762000.97,17187011.84,17642897.8125,18113280.61,18593956.0025,19077578.395,19560658.075,20059976.052500002,20545513.807499997,21032051.465,21541383.965,22089454.8175,22690091.25,23330196.64,23993664.572499998,24654833.445,25295498.66,25958756.8675,26579986.26,27177277.177500002,27779026.655,28407542.2425,29116793.805,29858658.862499997,30619481.485,31377621.427500002,32116999.9125,32733245.7125,33329871.505000003,33908362.04,34469752.2725,35014977.4,35552316.735,37331820.165,37755815.7675,38235983.1575,38763518.480000004,39332449.19,39958698.67,40643133.4675,41343857.385,42110486.7825,42922771.175,43739529.57,44568119.7225,45420080.832499996,46268464.8,47130125.42,48042698.8825,48986977.8925,49943274.84,50883165.435
Spain,28689364.857499998,29159696.7775,29519408.795,29909137.9675,30338095.42,30800229.82,31265391.759999998,31772334.84,32288842.45,32744931.2425,33188481.310000002,33770956.707499996,34261099.7775,34766859.495000005,35324762.7125,35959012.43,36606783.650000006,37217527.175,37769028.394999996,38199203.2975,38523209.730000004,38843881.33499999,39282414.739999995,39620722.05500001,39980885.9025,40368620.707499996,40753502.7475,41204237.3225,41659748.349999994,42080417.7775,42492102.6175,42931035.9875,43461107.59,43990986.93,44485166.32,45004842.9225,45548815.26,46081715.245000005,46662308.995000005,47220720.417500004,47845851.947500005,48548604.975,49517217.95,50579204.045,51503257.917500004,52528746.957499996,53610523.572500005,54741333.96,55839639.792500004,56720396.175,57499317.17,58253640.555,58809871.765,59246206.557500005,59655078.195,60092255.9725,60628170.5975,61149478.53,61792054.67999999,62673252.78,63350809.332499996
Sweden,8050477.5,8129594.83,8217702.425000001,8308919.2524999995,8415639.4575,8539774.3225,8669635.2475,8785375.1175,8878927.89,8971694.780000001,9079057.695,9178396.3475,9253876.74,9323593.2925,9402789.3125,9488536.2,9566244.3,9636877.595,9702086.695,9756814.5625,9807674.092500001,9853969.4225,9900395.795,9948859.45,9998657.645,10056329.9725,10120845.48,10189029.477500001,10261170.52,10348385.4625,10442979.1025,10526613.7825,10601532.335,10667242.475000001,10738117.809999999,10801224.645,10836105.3725,10860092.7975,10887280.43,10920113.302500002,10965911.719999999,11027695.532499999,11095382.895,11169697.280000001,11253092.3325,11336552.1525,11427615.68,11536125.465,11658015.002500001,11797863.870000001,11947563.197500002,12094994.317499999,12239635.5825,12388695.6675,12548133.825,12706683.1775,12874426.2025,13053889.4975,13231122.6925,13412297.9025,13570216.120000001
Switzerland,5457451.9925,5560156.465,5679288.7725,5784476.295,5884979.012499999,5978173.9375,6067348.6899999995,6162282.1125,6252731.5175,6333232.6525,6402035.415,6463715.1125,6531041.9825,6597570.5325,6659501.0,6702684.452500001,6724166.8325,6756959.5600000005,6806251.995,6862652.51,6925171.734999999,6990762.3225,7057387.645,7116219.4375,7174200.365,7241211.140000001,7314311.5649999995,7393059.859999999,7478064.005,7566445.41,7657677.0175,7760872.2925,7854491.4975000005,7938364.49,8020124.640000001,8098627.92,8166862.495,8226463.58,8293759.492500001,8375394.8175,8464773.565000001,8571226.7075,8670162.2525,8769534.0225,8874244.58,8983389.0425,9097560.18,9232522.719999999,9394435.5125,9562424.74,9723399.3125,9853994.462499999,10020240.965,10190997.364999998,10369422.9875,10539571.260000002,10704544.35,10862947.530000001,11011425.145,11161589.085,11303104.2275
Türkiye,21458645.353800233,22012453.968620688,22556886.88088795,23118727.239884704,23699075.47414743,24300665.34017306,24931323.289240602,25588337.967930164,26268271.586361323,26970870.283728898,27658959.137685504,28329556.312261425,29027541.90006146,29752180.679686986,30506209.189835437,31248981.66768747,31893872.823481917,32543052.17464994,33243273.542671558,33997139.61045414,34699575.285589196,35474249.48961954,36303788.23120195,37173587.61407806,38085412.14243688,39044213.321213126,39976909.38367266,40712501.18994011,41478039.08450888,42288932.82858396,43404627.56323061,44279622.40404479,45367050.11966923,46484899.139197394,47637431.546984896,48822382.28998917,50043180.244196534,51301961.29901675,52580566.07910189,53920998.38103631,55039060.83875,55912364.370000005,56746488.537499994,57569649.974999994,58454022.176249996,59432414.69875,60502783.50750001,61679277.62158333,62798824.4,64016177.345,65776909.0125,67445077.295,68806889.51249999,70186295.5825,71791226.06,73554830.4825,75214572.68,76805572.47749999,78562988.345,80474913.705,82128889.945
United Kingdom,56449206.1575,56801739.45,57506510.5875,57890018.06,58459705.7625,59080416.345,59460863.25,60553485.415,60407208.25,60808478.4725,61069168.087500006,61790062.005,62042767.5125,62193205.21249999,62255522.910000004,62478563.9675,62610142.31,62759937.8125,62935006.6725,63193580.45,63521202.67,63766076.3875,63911124.394999996,64053604.59,64247684.4875,64680498.00749999,65014495.88249999,65359352.96,65686726.050000004,66080777.105,66361649.19,66706028.76,67063651.260000005,67321537.5775,67539688.8875,67918886.13,68186420.89500001,68468407.35499999,68822717.87,69165735.4825,69545282.245,70003119.34,70543517.0875,71063532.2375,71605006.38749999,72280673.72749999,72929832.84,73697403.5125,74575357.10249999,75447158.8575,76400598.91,77358850.7525,78514705.3575,79519153.1925,80633674.905,81585300.815,82584908.055,83455953.2025,84334449.87,85304567.9975,85981299.61500001
United States,176719196.5525,179696079.385,182356544.10750002,184808547.7025,187325693.0475,189580228.3875,191601345.685,193661803.52249998,195621697.8225,197590815.22750002,200232788.5525,203198059.995,205973209.0875,208555892.63,211170570.5525,214181557.8125,216962136.0025,220166066.2625,223620416.76500002,227302415.05,230715970.485,233880960.97250003,237191729.76749998,240430019.0975,243387897.27749997,246365025.6325,249447045.03749996,252530830.2375,255529461.3,258737452.01999998,262302339.2975,266333281.965,270799175.0525,275038214.89750004,278923532.72,282784166.0025,286607732.54499996,290491421.5175,294514591.8125,298422475.58500004,302393722.23749995,306087066.795,310390229.8075,314626479.5575,318907769.52,323546626.5,328195420.97,333229857.5875,338365161.5775,343177277.9,349407598.145,354194084.1325,360050674.855,365467963.995,371238244.155,377102549.115,383004240.38750005,388545232.69,393913446.3325,399021406.73749995,403501126.53499997
World,2523154245.8599997,2569061053.1775,2617241100.3275003,2667717991.0,2719901919.6899996,2773167604.7525,2834410387.0675,2895188266.645,2955497286.31,3015593322.665,3076011481.775,3139861287.7275,3202519943.2675,3264457828.7075005,3326159738.5575,3388143300.4075,3453614601.14,3518783473.9825,3584306042.795,3650931801.5674996,3719372312.1799994,3791036140.3375,3864338097.2174997,3939729806.5025,4017640067.88,4098202665.2775,4185644248.4474998,4273550392.73,4360961105.38,4446668323.1975,4530250010.1625,4615055380.3625,4695224927.702499,4772210453.4425,4848189444.932501,4925248172.912499,5006077293.7575,5089540823.0175,5175700032.172501,5263888498.43,5353226976.0825,5447933545.2925005,5542104910.932501,5636341512.0375,5731740598.9375,5829604272.157499,5935416517.199999,6042558106.32,6151420163.5625,6262293157.81,6375457360.6325,6494652312.8025,6614658926.9825,6735770694.955,6858394825.0425,6983014890.639999,7112830990.915,7243622236.365,7375086416.965,7506677389.327499,7638250092.225
