Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Costa Rica,117845.13109596401,125078.818364674,132410.923147244,139546.19290209402,145864.59729190602,152379.836709438,160125.29505022,167693.601866054,173795.487725374,178755.730423918,183036.892276828,185644.956394118,190044.21926366,194778.101680326,201047.297313208,210859.52344505,224913.544424258,237717.662977444,249360.454867082,262607.452232638,276149.702139774,290489.133909176,306009.575844898,321657.960548638,336637.10615813,350966.696176146,366487.138111868,386023.01461307803,405667.150379534,425537.646427868,446333.267106486,464963.70248018403,478200.85809435404,489066.151624498,499665.71786722005,510718.004673698,525401.8977416101,542349.393628302,559346.0982719241,575998.341617036,594284.3156922241,619331.572969594,648069.4870167141,682407.357602468,715465.800508042,747244.815733436,780578.827677818,810645.3781620481,839019.147407886,866123.33072493,893896.753136222,921857.168823848,948571.1645498661,974570.6639241565,1003501.9591847755,1034633.3338750665,1066948.7048723511,1100595.480355504,1138945.3925461858,1185620.3756476853
Croatia,762233.8030943141,776538.788733865,789785.7860994211,801300.635221041,809493.893249886,815266.080437775,840751.295651822,861074.512263912,881210.735599668,907099.4626205411,941781.794504805,995094.561762767,1047477.283514752,1098615.023716408,1149265.5972244572,1200993.842509273,1264999.672648124,1323257.9199775509,1378160.130084352,1434597.653407369,1497471.68213683,1577145.580482193,1651623.034095748,1716982.105050174,1769222.121407062,1808028.14712206,1854889.646346499,1893543.124915014,1913699.0317535421,1899315.3121029031,1847070.3748703222,1793442.6715680081,1709571.266256516,1622496.370868881,1562796.306961405,1545583.083787291,1557078.2494061391,1583272.070719978,1626497.0428072899,1689641.7196998661,1773286.76472948,1955339.481867708,2089019.9909437462,2214836.94066237,2327141.1657280163,2396043.267181402,2490268.194950966,2561020.54566492,2625149.397696096,2695193.142310258,2756369.468925634,2804613.7342198063,2856401.030012938,2904871.655588988,2935932.222963204,2951619.974672488,2958017.113073388,2949799.250666078,2935164.566355096,2889754.725460092
Cyprus,92482.937774242,97649.857251892,101596.399557678,103082.504016964,102531.365939348,102491.998933804,120679.555495132,142390.45905264802,165843.352605486,189089.569379218,211390.978019894,208162.883565286,202267.674485072,195693.384559224,190516.623330188,187849.508704582,189571.815197132,190949.66039117202,191431.906209086,190762.667114838,189630.865705448,195063.51247052,167221.197799526,167664.07661189602,170163.88146394,172516.060045194,174759.97936120201,178303.009860162,183351.82832118002,189778.491976238,197868.41161553,206105.957525612,214500.97145787,220455.2310464,223073.136915076,225474.52425326,228062.904867778,231005.58853219202,233830.17117997402,240424.144608594,247707.040634234,254478.165587802,262636.97748679604,270136.392042928,278492.038969642,286641.00911725,294347.100452488,301984.29952802404,310861.559278196,320526.159139248,330771.422332074,342305.954956466,354352.25865293003,367815.774548978,382578.401627978,398344.88734835,415794.312555728,431875.73432045203,444581.435359778,456243.910752188
Czech Republic,2533581.742800752,2481056.31565367,2531160.671959796,2581727.590581064,2644508.122672358,2698736.172809218,2762707.556818218,2828775.233872436,2884843.691518478,2949021.7523065843,3004470.179615308,3071207.095763774,3165707.592572146,3262816.153497808,3359658.9871360483,3482149.4248862043,3614215.8867349382,3737729.8666292382,3860781.284208396,3967239.5089507583,4037007.684526112,4058817.005597488,4149912.256426304,4230063.479713888,4317271.238745234,4398268.852652014,4453057.882617876,4505494.734002484,4565017.646385012,4610929.416600702,4543493.73610383,4323894.737428012,4037785.1828856063,3752088.981901412,3583273.420377354,3594561.909217096,3711383.498168916,3873309.833722774,4042834.001346624,4207880.172089844,4391251.683913796,4584819.250173644,4817606.195706702,5034980.9585692845,5200509.375130418,5301397.168588304,5365033.93305018,5400867.7498466065,5423060.899222036,5406694.066667118,5377454.223299312,5348696.62574942,5324033.196776104,5317695.108883521,5343618.282034244,5415246.548621552,5535483.225304314,5679458.206330108,5895494.491004194,6180619.870408
Denmark,1422999.149398968,1459246.319753606,1489303.02848645,1520038.818064928,1552172.1363402181,1580477.013326354,1609470.81290951,1640797.107571148,1680311.739385938,1728477.270669022,1780500.7684954181,1837661.660545306,1892539.266273642,1946875.575675748,1998466.0364411601,2046355.998685436,2095663.1731292962,2154369.220146786,2213803.55676684,2261703.360762502,2305942.033242572,2346962.45301942,2391171.600245332,2441364.532313932,2500218.205602212,2558501.057310104,2604914.75684648,2649222.321586252,2690685.62017547,2723753.90483243,2738821.626204396,2740514.407442788,2740957.286255158,2737453.622761742,2710743.109500138,2732700.0568423043,2741478.899078616,2752570.552890638,2749332.616684644,2746970.596352004,2755710.0715827723,2760591.580270228,2761920.216707338,2754273.1758804163,2760414.42874528,2734835.716893066,2722730.362688286,2712396.5237329863,2710644.691986278,2721765.871052458,2744195.222461152,2779517.268185506,2834493.291427702,2906072.34925808,2991420.017277472,3092573.5380227803,3198165.6886431742,3336156.88482628,3509853.955037794,3712013.3702576202
Estonia,356241.874919042,370837.19222448004,385973.805856148,400578.964912972,413412.608720316,424258.218747688,433371.680531124,440319.95700964,446539.94388559205,453212.6513253,458241.786283546,467256.83055312204,475553.42697152,485355.811351976,497707.209341406,511879.331337246,524004.369044798,535676.686188594,549189.410841572,562032.8964003021,572927.715184604,583143.453123272,596341.241731898,607924.9831132201,615808.225973406,621693.5933022341,628464.718255802,635885.3988008461,639635.106078912,641347.570820076,635334.26072323,613741.4581823461,581155.4193433,555507.815231384,537113.58189095,518679.98154497205,513207.967774356,520795.95809296204,533422.9251212,550813.299820262,582041.1769680401,611861.6836676201,649161.92142056,685379.56652104,718595.47744879,751909.8058904,779368.29225734,799839.13514022,810861.89669254,813568.37832369,819375.01164143,831204.796807402,849589.18839645,868426.300549254,884606.139827838,897321.68261855,911867.791167058,921847.3270724621,914584.114549594,902301.6088198661
European Union (27 countries),96190975.07693967,98735343.37925948,101317686.07930218,103547374.22280602,106072787.31195639,108524210.11418682,110904260.53536597,113098419.95636636,115338978.31427604,117536385.5132338,119891905.36908334,123050310.38212708,126313062.56424087,129647940.02138698,133342818.90248157,138081203.92040667,143198899.8784996,148380488.48659045,153263502.96200848,157651009.8595199,161984913.65810746,166223347.54737517,170990283.48607105,175681103.3195476,180403830.11101755,184728349.7996586,187970586.85100827,191731799.1364445,195658608.73070157,198561138.0494607,199255473.609743,196178272.88738513,190540961.9813656,184276756.11643627,180355256.14705196,182335879.0882303,187840380.4801715,193184077.49621683,198034481.32841736,202491298.7600647,208927405.57557756,218463442.63827425,228711550.09725082,238614841.95466748,247381096.59095675,253923981.48813206,258551233.44940642,262196760.86817592,266007113.01828244,269657216.85144645,273467992.1968626,276593176.3781029,280504145.6735042,284592483.01238394,289159537.90130585,293706717.3733038,297222589.55931413,299008862.51499736,300719250.64661896,303149144.6176925
Finland,855819.0170237881,878297.5771894121,899004.6221055561,922595.300177798,947583.5069468521,961972.147473184,977640.2156796961,994951.85636767,1004990.44278139,1024900.305835268,1059484.220205672,1094570.063896762,1131132.1702957521,1181699.08891702,1241861.715139638,1302290.068649678,1364519.462663356,1430734.7659883641,1498406.6485185002,1569267.2584977,1639143.6933383,1710909.744445012,1794574.472977398,1873534.844347276,1949680.474820758,2023031.047900616,2087691.354506636,2151278.910211582,2202219.815385518,2240012.1407077583,2266427.401427782,2275265.29417241,2278109.560322964,2281229.395512326,2263287.882735648,2269419.293849126,2316748.2762644,2358979.231461726,2412213.2647086,2474314.71595426,2540835.1135722343,2618033.811444018,2691600.903054368,2768002.419063886,2868280.02393584,2960959.796737802,3023012.039226532,3071836.967852478,3098763.9996445742,3118919.906483102,3148228.64211061,3178993.956943246,3217829.507912402,3270433.669070572,3332318.60178574,3362365.4687671983,3436700.216985656,3506596.3353290283,3542941.923197526,3631212.5913785603
France,16569828.519005636,16829030.72525872,17127314.526265606,17375503.812717754,17640591.386299666,17907155.222589474,18154911.47198064,18411230.045077622,18658415.4728884,18914921.039261717,19134047.633871008,19497218.101765793,19999501.72550169,20469809.49898447,20966404.59041926,21560167.293288026,22249542.61087178,23040632.42902985,23766382.85973626,24395339.66556136,25031766.360688437,25592431.253646083,26085089.644526474,26584361.692338254,27076685.463671517,27526089.357210435,27814462.514571622,28123119.521539353,28575771.19303565,28985345.518715426,28724125.753428213,27893826.397748325,26611524.926163614,25533961.408661857,24787188.99699495,25149424.498508066,26384987.492760666,27460858.229024027,28378335.818481106,29295695.30692155,30643168.856184356,32529714.495863922,34436051.897580735,36139846.05577367,37661823.69886164,38616877.09511047,39006502.19073082,39359958.85000762,39663143.843204744,39903223.52651483,40082776.43880101,40171745.87133045,40251168.80501547,40333534.422364905,40429393.08086454,40287012.46356328,39879396.64640932,39589379.91656667,39704282.36399822,40051528.878150456
G20,299606306.03288454,311230221.4433642,321714319.33795,329826333.70910347,337370862.85358894,342842512.4794036,354584814.3173055,365954192.51168907,376177631.6208166,385754797.3625553,394966888.25750613,410370203.50998336,423774299.8320384,436573625.4522994,449493975.08935404,465391488.9668036,485431878.2484384,504239519.276717,522653741.214216,540391888.9611294,559282422.1404567,580932114.9252274,602790511.8898897,623610535.1910692,644550677.067915,665708971.2059828,689053940.1131219,712616096.7898473,735059266.0174872,755769716.1796107,770739187.3474903,787338619.854665,799082215.8828741,808571711.3032665,818501108.4062345,835650744.0246435,861135634.4608948,883954610.9652091,904883336.4104471,926641283.5395882,958178491.8543038,992854638.1978217,1029233122.1203275,1063239670.1456717,1096568091.9752665,1127459829.0253315,1160147946.509753,1189472404.3351002,1216209637.9517171,1240725716.2232819,1267318182.5978866,1299602429.0515566,1333508153.254827,1367452516.174039,1399515131.3073719,1429697967.005103,1463174482.5886786,1493685383.2271109,1524238037.495798,1556792361.2910028
