Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Costa Rica,59557.04849392,63212.83859272,66918.36733232,70524.41879032,73717.63952968,77010.33755064,80924.7685816,84749.67005912,87833.46578872,90340.29328504001,92503.92415984001,93821.99814104,96045.31538480001,98437.74400728001,101606.09542624,106565.037914,113667.71582024,120138.71298832001,126022.79419496,132717.61524664,139561.65222072002,146808.57218528,154652.35583944002,162560.79972664002,170131.02085640002,177372.96695688,185216.75061104,195089.87080984,205017.70351352,215059.93509104,225569.70989208002,234985.23459552,241675.08178312003,247166.22772744,252523.0793416,258108.72870344002,265529.7339108,274094.72785656,282684.59112272004,291100.36914608,300341.80860672,313000.29269032,327523.97580392,344877.78757904004,361584.99702376,377645.60413808003,394492.08177704003,409687.23654144,424026.88668408,437724.9083604,451761.15279416,465891.90064544004,479392.7277404961,492532.4597824701,507153.87467508425,522887.17459905165,539218.847360458,556223.3907003294,575604.8242719726,599193.615817083
Croatia,385220.79913192004,392450.3105722,399145.13162388,404964.55259748,409105.29444408003,412022.46572700003,424902.28676216,435173.31608736,445349.84199504,458433.59145748004,475961.4884754,502904.91019676,529378.30176256,555222.49952224,580820.49100996,606963.12061444,639310.64565872,668753.43408028,696500.13485056,725022.75841732,756798.2890924,797064.20575204,834703.92217744,867735.35353272,894136.6240693601,913748.5701368001,937431.6239537201,956966.47512792,967152.94876376,959883.6464108401,933479.8889421601,906377.30357024,863990.0338804801,819983.7714326801,789812.3119234,781113.02364748,786922.49689292,800160.4361418401,822005.6471812001,853917.95911848,896190.8299344,988197.36768624,1055757.36348488,1119343.2418836001,1176100.0049004802,1210922.02732456,1258541.80202648,1294298.9108976,1326708.60924288,1362107.59990024,1393025.13902152,1417407.0207416802,1443579.4935306401,1468075.77412464,1483773.28916112,1491701.62850464,1494934.64015664,1490781.46364984,1483385.3277628801,1460435.91889776
Cyprus,46739.40075976,49350.679401760004,51345.198897840004,52096.252373920004,51817.71598544,51797.82052912,60989.52134896001,71961.86550944,83814.58361208001,95562.85056904,106833.62657432,105202.19915608001,102222.85457216001,98900.31336672,96284.06086064,94936.14369496,95806.56990896001,96502.91088016001,96746.63022008,96408.40746264001,95836.41309344,98581.98606560001,84510.92458328001,84734.74846688,85998.1099432,87186.86345832,88320.90446856001,90111.49553736001,92663.0878104,95911.02105464,99999.53732840001,104162.66156336,108405.3676236,111414.55539200001,112737.60323728001,113951.22607280001,115259.35232584001,116746.53768576,118174.03667672,121506.52561032001,125187.18502952001,128609.20351656001,132732.53683888,136522.62126784,140745.43187176,144863.79133,148758.32690464,152618.04543072,157104.47083088002,161988.80535744,167166.59786472,172995.96656648,179083.9762004,185888.22226184,193349.01838184,201317.148638,210135.80965184,218263.10355856002,224684.36208584002,230578.39102064
Czech Republic,1280431.77784256,1253886.2652476002,1279208.20727888,1304763.92092192,1336492.19988824,1363898.1909690402,1396228.30748904,1429617.8570580801,1457953.9607218402,1490388.52838752,1518411.27861424,1552139.0509407201,1599898.09383688,1648975.21071424,1697918.03326144,1759822.7456011202,1826567.0276906402,1888989.02189464,1951177.24448688,2004979.5322402401,2040239.2547033601,2051261.3375046402,2097299.4234291203,2137806.57249664,2181879.98210952,2222814.8834879203,2250504.38482128,2277005.1326395203,2307087.06259536,2330290.1385285603,2296209.2218524003,2185227.39263536,2040632.18996568,1896245.8895873602,1810929.19902312,1816634.22112288,1875673.9877524802,1957508.9734607202,2043183.78223872,2126595.4828603202,2219268.51839888,2317094.4771243203,2434741.28420856,2544599.02014352,2628254.44010504,2679241.5207891203,2711402.5259304,2729512.36504568,2740728.4285460804,2732456.89258104,2717679.5423993603,2703145.9115576,2690681.40817312,2687478.2397056003,2700579.39769232,2736779.18046656,2797544.8779319203,2870307.53555824,2979488.82597832,3123586.64224
Denmark,719161.0595990401,737479.80100568,752669.9819060001,768203.35942784,784443.02564904,798747.85874312,813400.8623228001,829232.67168944,849202.7359706401,873544.8267781601,899836.6723050401,928724.8748816801,956459.1409917601,983919.8445774401,1009992.8400848,1034195.6626980801,1059114.72173888,1088783.8209760801,1118820.9861552,1143028.78263256,1165386.3016721602,1186117.3671576001,1208459.96460496,1233826.6714129602,1263570.37861136,1293025.60169312,1316482.3446944,1338874.68078256,1359829.5701516,1376541.7534604,1384156.7393668802,1385012.2439886401,1385236.06787224,1383465.37225976,1369966.3051466402,1381062.99590912,1385499.68266848,1391105.22748664,1389468.8262043202,1388275.0988251201,1392691.8901281601,1395158.92671184,1395830.39836264,1391965.7059724801,1395069.3971584002,1382142.32441448,1376024.47159608,1370801.91431208,1369916.56650584,1375537.0329162402,1386872.46915456,1404723.66733768,1432507.6720885602,1468682.5855424001,1511815.93484416,1562937.3098584001,1616301.8975727202,1686040.4458384002,1773824.17298632,1875992.3150536001
Estonia,180038.95810376,187415.1985344,195065.00148944,202446.21578416,208932.13454448,214413.33276064,219019.13089872,222530.6789392,225674.16103776,229046.440884,231588.08542888,236144.14492616002,240337.1123456,245291.08096928,251533.28038968,258695.64466488,264823.44521144003,270722.44801032,277551.56339216,284042.45601656,289548.52355312003,294711.39446816,301381.34619944,307235.58422160003,311219.64934968,314194.02006952,317616.03855656,321366.33207288,323261.37428736,324126.82663728,321087.7956844,310175.13789288,293706.673924,280744.78413152,271448.632166,262132.58474416,259367.11631568,263201.96552136,269583.433136,278372.25096536,294154.3216912,309225.1298536,328076.0747168,346379.8945312,363166.68580120004,380003.21571200003,393880.2964952,404225.93378160003,409796.6615512,411164.4741732,414099.05398040003,420077.63860456,429368.816706,438888.79255512,447065.82510264,453492.057494,460843.42860424,465886.92678136,462216.21509032004,456008.83271848003
European Union (27 countries),48613383.633725286,49899266.76659952,51204341.55402644,52331190.35680676,53607493.82746292,54846403.78796564,56049243.2861602,57158136.439611726,58290478.87526841,59401013.40386632,60591455.545841485,62187663.03253101,63836605.91312872,65521999.756636724,67389332.57432705,69784036.73962364,72370438.60042752,74989130.78683877,77456928.37172301,79674304.33483945,81864590.14724417,84006626.99114084,86415760.33613352,88786425.81633148,91173216.56387681,93358759.79688124,94997334.6578042,96898191.31939372,98882738.21799332,100349630.21246693,100700536.32331093,99145368.18914549,96296361.22650984,93130531.5566384,91148668.05770996,92149643.28221773,94931530.4360258,97632149.62463076,100083466.31088592,102335870.71178576,105588576.37861052,110407937.31869349,115587167.2726926,120592132.92478484,125022458.11198653,128329127.71714725,130667667.00925249,132510058.38551365,134435749.55045462,136280453.77351296,138206358.81460938,139785777.02309686,141762318.4874597,143828498.93027228,146136615.5827322,148434687.51668257,150211553.2075538,151114307.05114177,151978709.91574088,153206739.5485686
Finland,432517.27266864,443877.57822736003,454342.58825168,466264.94045144,478893.58135056,486165.37063552,494083.76225088,502832.78916760004,507906.1305292,517968.25756304,535446.41594016,553178.24138536,571656.14644256,597211.8600856,627617.09120664,658156.6166578401,689606.3592356801,723070.51676592,757270.8061800001,793082.6275560001,828397.0625240001,864666.47939536,906949.29793944,946854.60945328,985337.3958402401,1022407.60482848,1055085.89183408,1087222.02765496,1112966.74813304,1132066.38620024,1145416.23739096,1149882.7673348,1151320.21405392,1152896.92896728,1143829.57474944,1146928.29207128,1170847.604432,1192190.45519928,1219094.086008,1250479.1683528,1284097.51566952,1323112.50551304,1360292.1395110402,1398904.24636408,1449582.9474752,1496421.82551656,1527782.03854096,1552457.37824184,1566065.87036472,1576252.34400056,1591064.5112308,1606612.81034488,1626239.67800456,1652824.98151216,1684100.6388472,1699285.84588344,1736853.44127968,1772177.8239758401,1790546.30402328,1835156.8909568002
France,8374126.885554081,8505123.54382904,8655871.416365681,8781302.320735121,8915273.34972992,9049990.45833672,9175202.51268664,9304741.82878616,9429665.39901944,9559299.218536481,9670042.30227768,9853582.86069376,10107428.98788064,10345115.0306716,10596086.264420241,10896164.45823072,11244563.7415784,11644367.91019288,12011150.595180241,12329015.326940801,12650655.22153808,12934006.310447522,13182987.998564161,13435312.12334256,13684124.70008048,13911246.25556552,14056985.446973601,14212975.772250561,14441738.702882001,14648731.03043528,14516714.73002392,14097094.686914722,13449039.98820336,12904456.583948242,12527049.725286001,12710117.76661448,13334551.58480992,13878279.48444328,14341958.015573122,14805576.860334001,15486568.48698312,16439998.544750161,17403431.043182082,18264501.4188476,19033684.6294992,19516353.37368648,19713263.678749602,19891895.03331872,20045119.890167203,20166452.330534723,20257195.50681024,20302159.23809344,20342298.321219042,20383924.589704562,20432370.02584376,20360413.1341984,20154410.60559704,20007840.7788876,20065910.6420216,20241403.48835624
G20,151416245.47011817,157290786.8054527,162589282.55929413,166688965.1579137,170501849.77981645,173267134.17532548,179201506.12167838,184947408.41031188,190114171.3739945,194954318.09206778,199609961.8090255,207394551.50676942,214168767.86382642,220637342.76009944,227167081.26296425,235201431.05855334,245329523.96475434,254834605.5778868,264140859.46135324,273105436.2387762,282652410.22212243,293593819.43495685,304640704.40947175,315162811.90649813,325745625.4146209,336438689.5939409,348236864.30307966,360144802.24473584,371487221.78822416,381953952.7695158,389519284.59088516,397908372.8595919,403843398.8690713,408639238.4059199,413657397.2324844,422324549.3725835,435204206.27022886,446736552.813612,457313596.6394019,468309715.8701843,484248117.63099074,501772888.5753365,520157993.7634639,537344360.4043307,554188012.8884933,569800203.773613,586320256.6607306,601140369.6388385,614652940.7929356,627042975.4844099,640482383.5848223,656798326.4986212,673933738.3889204,691088677.6695977,707292611.651247,722546535.1066843,739465031.8105906,754884754.0512706,770325577.9103099,786778013.6021922
